name,gender,birthyear,n_raters,occupation,industry,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,likability,pred_likability
Serena Williams,Female,1981,22,TENNIS PLAYER,INDIVIDUAL SPORTS,5.727272727272728,3.3181818181818183,6.681818181818182,3.0454545454545454,5.136363636363637,2.772727272727273,5.363636363636363,1.6363636363636365,5.409090909090909,2.727272727272727,64.54545454545455,47.83658776047912
SIR Richard Branson,Male,1950,11,BUSINESSPERSON,BUSINESS,6,3.727272727272727,6,3.1818181818181817,6.2727272727272725,2.1818181818181817,4.636363636363637,2.272727272727273,4.636363636363637,1.818181818181818,37.63636363636363,36.50361253257313
Robert F. Kennedy,Male,1925,19,POLITICIAN,GOVERNMENT,5.315789473684211,3.473684210526316,5.894736842105263,3.1052631578947367,5,3.473684210526316,5.157894736842105,2.3157894736842106,5.2631578947368425,3.736842105263158,45.526315789473685,58.57176311412995
Julian Assange,Male,1971,15,JOURNALIST,LANGUAGE,3.866666666666666,5.8,4.133333333333334,4.466666666666667,4.533333333333333,3.933333333333333,2.8666666666666667,3.466666666666667,3.6666666666666665,2.6666666666666665,-10.6,7.231541276062842
Maria Sharapova,Female,1987,11,TENNIS PLAYER,INDIVIDUAL SPORTS,5.181818181818182,3.8181818181818175,6.2727272727272725,3.5454545454545454,4.727272727272728,3.090909090909091,4.454545454545454,2,4.545454545454546,3.727272727272727,44.63636363636363,22.842733264843837
Ted Kennedy,Male,1932,14,POLITICIAN,GOVERNMENT,5.5,4.642857142857143,5.071428571428571,3.5,4.428571428571429,3.2857142857142856,4.428571428571429,2.571428571428572,4.642857142857143,3.928571428571429,13.928571428571429,23.206948423684164
Julia Child,Female,1912,15,CHEF,MEDIA PERSONALITY,6.266666666666667,2.2666666666666666,6.533333333333333,2.533333333333333,6,2.933333333333333,6.066666666666666,2,5.333333333333333,1.6,76.66666666666667,41.074885413827104
Lee Harvey Oswald,Male,1939,16,EXTREMIST,OUTLAWS,2.8125,5.8125,3.9375,5.75,3.75,5.0625,1.6875,4.25,1.875,3.75,-84.1875,-31.517512691915417
Tyra Banks,Female,1973,31,MODEL,MEDIA PERSONALITY,6,4.064516129032258,5.709677419354839,3.870967741935484,4.967741935483871,2,4.161290322580645,2.774193548387097,3.7096774193548394,2.903225806451613,26.032258064516128,31.958545533481335
Vince McMahon,Male,1945,13,BUSINESSPERSON,BUSINESS,6.076923076923077,5.769230769230769,5.307692307692308,4.846153846153846,4.6923076923076925,1.5384615384615383,2.6923076923076925,2.8461538461538463,2.769230769230769,2.076923076923077,-3.230769230769231,-18.426015086807386
Jackie Robinson,Male,1919,15,BASEBALL PLAYER,TEAM SPORTS,5.133333333333334,2.533333333333333,6.333333333333333,2.2666666666666666,5.533333333333333,3.733333333333333,5.266666666666667,2.2,5.6,2.4,73.4,63.46275087121603
Bam Margera,Male,1979,12,SKATER,INDIVIDUAL SPORTS,6.416666666666667,5.166666666666667,3.1666666666666665,5,6.083333333333333,1.4166666666666667,3.583333333333333,5.416666666666667,2.583333333333333,1.6666666666666667,20.08333333333333,25.349532826625953
